acc,accuracy,average_response_time,avg_rt,background,batchId,batchTitle,bidi,canvas_backend,clock_backend,color_backend,compensation,componentId,componentPos,componentResultId,componentTitle,coordinates,correct,count_Goodbye_message,count_Instructions,count_ParticipantNumber,count_blank500,count_blank500_1,difficulty,count_difficult_loop,count_easy_loop,count_experiment,count_get_input_sequence,count_init,count_mind_wandering,count_mind_wandering_1,count_mw_1,count_mw_new_keyboard_response_1,count_new_keyboard_response,count_new_logger,count_new_sequence,count_new_sequence_1,count_new_sketchpad_2,count_number_input,count_osweb,count_process_input,count_shapes,count_shapes_1,count_shapes_new_keyboard_response,count_show_input,cr,datetime,description,disable_garbage_collection,empty_column,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,groupMemberId,groupResultId,height,keyboard_backend,mouse_backend,multichar_response,mw,opensesame_codename,opensesame_version,response,response_Instructions,response_mind_wandering,response_numeric,response_mind_wandering_1,response_mw_1,response_mw_new_keyboard_response_1,response_new_keyboard_response,response_new_sketchpad_2,response_number_input,response_shapes_new_keyboard_response,response_time,response_time_Instructions,response_time_mind_wandering,response_time_mind_wandering_1,response_time_mw_1,response_time_mw_new_keyboard_response_1,response_time_new_keyboard_response,response_time_new_sketchpad_2,response_time_number_input,response_time_shapes_new_keyboard_response,round_decimals,sampler_backend,sessionid,shapes,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,studyId,studyResultId,studyTitle,subject_nr,subject_parity,time_Instructions,time_ParticipantNumber,time_blank500,time_blank500_1,time_difficult_loop,time_easy_loop,time_init,time_mind_wandering,time_mind_wandering_1,time_mw_1,time_mw_new_keyboard_response_1,time_new_keyboard_response,time_new_logger,time_new_sketchpad_2,time_number_input,time_process_input,time_shapes,time_shapes_1,time_shapes_new_keyboard_response,time_show_input,title,title_numeric,total_correct,total_response_time,total_responses,uniform_coordinates,width,workerId
0,0,1780,1780,white,138,Default,no,psycho,psycho,psycho,0,138,1,4961,OSWeb experiment,uniform,0,0,0,0,0,,easy,0,0,0,4,0,0,,,0,,0,0,,0,4,0,4,0,,0,4,,Fri Mar 19 2021 14:05:43 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,/Users/hannahwindmill/Desktop/OneDrive/PhD/Teaching/experiments/Z4,no,mono,no,18,no,black,no,no,None,null,768,psycho,psycho,0w7rs,1,osweb,1.3.3,None,space,,,,,,,,enter,None,816,27014,,,,,,,3438,816,2,psycho,1.61616E+12,Circle.jpg,1024,2,48000,-16,experiment,138,6796,Experiment 1,4961,odd,9984,45,37013,,45,45,31,,,,,,38856,,6533,9982,37522,,38039,6533,New experiment,1,0,10682,6,yes,1024,6668
0,0,1643,1643,white,138,Default,no,psycho,psycho,psycho,0,138,1,4961,OSWeb experiment,uniform,0,0,0,0,1,,easy,0,0,0,4,0,1,,,1,,1,1,,0,4,0,4,1,,1,4,,Fri Mar 19 2021 14:05:43 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,/Users/hannahwindmill/Desktop/OneDrive/PhD/Teaching/experiments/Z4,no,mono,no,18,no,black,no,no,None,null,768,psycho,psycho,0w7rs,1,osweb,1.3.3,None,space,,,,,,,,enter,None,817,27014,,,,,,,3438,817,2,psycho,1.61616E+12,Diamond.jpg,1024,2,48000,-16,experiment,138,6796,Experiment 1,4961,odd,9984,45,38861,,45,45,31,,,,,,40705,,6533,9982,39372,,39888,6533,New experiment,1,0,11499,7,yes,1024,6668
13,13,1442,1442,white,138,Default,no,psycho,psycho,psycho,0,138,1,4961,OSWeb experiment,uniform,1,0,0,0,2,,easy,0,0,0,4,0,2,,,2,,2,2,,0,4,0,4,2,,2,4,s,Fri Mar 19 2021 14:05:43 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,/Users/hannahwindmill/Desktop/OneDrive/PhD/Teaching/experiments/Z4,no,mono,no,18,no,black,no,no,None,null,768,psycho,psycho,0w7rs,1,osweb,1.3.3,s,space,,,,,,,,enter,s,34,27014,,,,,,,3438,34,2,psycho,1.61616E+12,Square.jpg,1024,2,48000,-16,experiment,138,6796,Experiment 1,4961,odd,9984,45,40709,,45,45,31,,,,,,41788,,6533,9982,41222,,41738,6533,New experiment,1,1,11533,8,yes,1024,6668
11,11,1372,1372,white,138,Default,no,psycho,psycho,psycho,0,138,1,4961,OSWeb experiment,uniform,0,0,0,0,3,,easy,0,0,0,4,0,3,,,3,,3,3,,0,4,0,4,3,,3,4,,Fri Mar 19 2021 14:05:43 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,/Users/hannahwindmill/Desktop/OneDrive/PhD/Teaching/experiments/Z4,no,mono,no,18,no,black,no,no,None,null,768,psycho,psycho,0w7rs,1,osweb,1.3.3,None,space,,,,,,,,enter,None,817,27014,,,,,,,3438,817,2,psycho,1.61616E+12,Star.jpg,1024,2,48000,-16,experiment,138,6796,Experiment 1,4961,odd,9984,45,41792,,45,45,31,,,,,,43638,,6533,9982,42306,,42821,6533,New experiment,1,1,12350,9,yes,1024,6668
10,10,1317,1317,white,138,Default,no,psycho,psycho,psycho,0,138,1,4961,OSWeb experiment,uniform,0,0,0,0,4,,easy,0,0,0,4,0,4,,,4,,4,4,,0,4,0,4,4,,4,4,,Fri Mar 19 2021 14:05:43 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,/Users/hannahwindmill/Desktop/OneDrive/PhD/Teaching/experiments/Z4,no,mono,no,18,no,black,no,no,None,null,768,psycho,psycho,0w7rs,1,osweb,1.3.3,None,space,,,,,,,,enter,None,816,27014,,,,,,,3438,816,2,psycho,1.61616E+12,Triangle.jpg,1024,2,48000,-16,experiment,138,6796,Experiment 1,4961,odd,9984,45,43642,,45,45,31,,,,,,45487,,6533,9982,44154,,44671,6533,New experiment,1,1,13166,10,yes,1024,6668
9,9,1271,1271,white,138,Default,no,psycho,psycho,psycho,0,138,1,4961,OSWeb experiment,uniform,0,0,0,0,5,,easy,0,0,0,4,0,5,,,5,,5,5,,0,4,0,4,5,,5,4,,Fri Mar 19 2021 14:05:43 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,/Users/hannahwindmill/Desktop/OneDrive/PhD/Teaching/experiments/Z4,no,mono,no,18,no,black,no,no,None,null,768,psycho,psycho,0w7rs,1,osweb,1.3.3,None,space,,,,,,,,enter,None,817,27014,,,,,,,3438,817,2,psycho,1.61616E+12,Circle.jpg,1024,2,48000,-16,experiment,138,6796,Experiment 1,4961,odd,9984,45,45491,,45,45,31,,,,,,47337,,6533,9982,46004,,46520,6533,New experiment,1,1,13983,11,yes,1024,6668
8,8,1233,1233,white,138,Default,no,psycho,psycho,psycho,0,138,1,4961,OSWeb experiment,uniform,0,0,0,0,6,,easy,0,0,0,4,0,6,,,6,,6,6,,0,4,0,4,6,,6,4,,Fri Mar 19 2021 14:05:43 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,/Users/hannahwindmill/Desktop/OneDrive/PhD/Teaching/experiments/Z4,no,mono,no,18,no,black,no,no,None,null,768,psycho,psycho,0w7rs,1,osweb,1.3.3,None,space,,,,,,,,enter,None,817,27014,,,,,,,3438,817,2,psycho,1.61616E+12,Diamond.jpg,1024,2,48000,-16,experiment,138,6796,Experiment 1,4961,odd,9984,45,47341,,45,45,31,,,,,,49187,,6533,9982,47854,,48370,6533,New experiment,1,1,14800,12,yes,1024,6668
15,15,1139,1139,white,138,Default,no,psycho,psycho,psycho,0,138,1,4961,OSWeb experiment,uniform,1,0,0,0,7,,easy,0,0,0,4,0,7,,,7,,7,7,,0,4,0,4,7,,7,4,s,Fri Mar 19 2021 14:05:43 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,/Users/hannahwindmill/Desktop/OneDrive/PhD/Teaching/experiments/Z4,no,mono,no,18,no,black,no,no,None,null,768,psycho,psycho,0w7rs,1,osweb,1.3.3,s,space,,,,,,,,enter,s,9,27014,,,,,,,3438,9,2,psycho,1.61616E+12,Square.jpg,1024,2,48000,-16,experiment,138,6796,Experiment 1,4961,odd,9984,45,49197,,45,45,31,,,,,,50236,,6533,9982,49703,,50220,6533,New experiment,1,2,14809,13,yes,1024,6668
13,13,1095,1095,white,138,Default,no,psycho,psycho,psycho,0,138,1,4961,OSWeb experiment,uniform,0,0,0,0,9,,easy,0,0,0,4,0,9,,,9,,9,9,,0,4,0,4,9,,9,4,,Fri Mar 19 2021 14:05:43 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,/Users/hannahwindmill/Desktop/OneDrive/PhD/Teaching/experiments/Z4,no,mono,no,18,no,black,no,no,None,null,768,psycho,psycho,0w7rs,1,osweb,1.3.3,None,space,,,,,,,,enter,None,801,27014,,,,,,,3438,801,2,psycho,1.61616E+12,Triangle.jpg,1024,2,48000,-16,experiment,138,6796,Experiment 1,4961,odd,9984,45,52090,,45,45,31,,,,,,53920,,6533,9982,52603,,53119,6533,New experiment,1,2,16427,15,yes,1024,6668
13,13,1078,1078,white,138,Default,no,psycho,psycho,psycho,0,138,1,4961,OSWeb experiment,uniform,0,0,0,0,10,,easy,0,0,0,4,0,10,,,10,,10,10,,0,4,0,4,10,,10,4,,Fri Mar 19 2021 14:05:43 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,/Users/hannahwindmill/Desktop/OneDrive/PhD/Teaching/experiments/Z4,no,mono,no,18,no,black,no,no,None,null,768,psycho,psycho,0w7rs,1,osweb,1.3.3,None,space,,,,,,,,enter,None,817,27014,,,,,,,3438,817,2,psycho,1.61616E+12,Circle.jpg,1024,2,48000,-16,experiment,138,6796,Experiment 1,4961,odd,9984,45,53924,,45,45,31,,,,,,55769,,6533,9982,54435,,54952,6533,New experiment,1,2,17244,16,yes,1024,6668
